ISBN;Titel;Autoren;Erscheinungsdatum;BE_T;BE_E;BE_A;JM_T;JM_E;JM_A;NP_T;NP_E;NP_A;NL_T;NL_E;NL_A;WB_T;WB_E;WB_A;TD_T;TD_E;TD_A
978-3-647-99713-1;Internationale Personalauswahl;Riedel, Tim;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-54045-9;BACCHIUS IUDAEUS;Scott, James M.;20150801;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-49155-3;Internationale Personalauswahl;Riedel, Tim;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-53464-9;Die Weisheit Salomos;-;20150901;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-647-40368-7;Beratung: Reflexivität als Profession;Seel, Hans-Jürgen;20141022;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-77010-8;Religion mit Kindern 3;Steinkühler, Martina;20150218;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
978-3-525-64197-2;Evangelisches Gesangbuch Taschenausgabe - neue Rechtschreibung;-;20141001;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-99703-2;Die Taten des Petrus;-;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-56413-4;De libertate et servitute spiritus;Dietz, Martin;20150311;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-40468-4;Lehrbuch der MarteMeo-Methode;Bünder, Peter /Helfer, Angela;20150916;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-647-30166-2;Vergessene Vielfalt;-;20140402;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
978-3-525-30033-6;Empires [AT];Hirschhausen, Ulrike von /Leonhard, Jörn;20140701;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M;G;M;M
