"Current ISBN-13 Complete"	"Ausgabennr."	"Current Project No"	"Description"	"Notification No"	"No_ Series"	"Serial Nos_"	"Series Code"	"Current Print Run No"	"Edition Group"	"Genre Code"	"Imprint Code"	"Item Disc Group "	"Item Type Code"	"Publication Date Edition"
"9783935326452"	"116464"	"116464"	"Von der Wehemutter zur Hebamme"	"1"	""	""	"3004"	"1"	"U3900"	"POLI/SOZ"	"UNIPRESS1"	"U210"	"BUCH"	"31.12.2001"
"9783525535394"	"110247"	"110247"	"Die Auferstehung Jesu."	"10"	""	""	""	"1"	"5300"	"WISS.THEO"	"VR"	"100"	"BUCH"	"12.03.1994"
"9783525535233"	"110248"	"110248"	"Die Auferstehung Jesu."	"10"	""	""	""	"1"	"5300"	"WISS.THEO"	"VR"	"100"	"BUCH"	"12.03.1994"
"9783525516621"	"102853"	"P1036530"	"Die Religionen des Alten Orients"	"18"	""	""	"263"	"1"	"5100"	"WISS.THEO"	"VR"	"100"	"BUCH"	"12.11.1979"
"9783525539217"	"106777"	"P1036476"	"The Odes of Solomon"	"18"	""	""	"518"	"1"	"5300"	"WISS.THEO"	"VR"	"210"	"BUCH"	"12.12.1991"
"9783525513552"	"102802"	"P1036528"	"Ethik des Neuen Testaments: eine Einführung"	"18"	""	""	"264"	"3"	"5200"	"WISS.THEO"	"VR"	"100"	"BUCH"	"12.02.1978"
"9783525279014"	"112619"	"P1036477"	"Heinrich von Herzogenberg (1843–1900)"	"18"	""	""	"046"	"1"	"2700"	"GEIST"	"VR"	"210"	"BUCH"	"12.11.1997"
"9783525558287"	"116855"	"P1037669"	"Christoph Gottlob Müller"	"18"	""	""	"020"	"1"	"5500"	"GESCH"	"VR"	"210"	"BUCH"	"12.10.2003"
"9783525354223"	"113909"	"P1039346"	"Die Jagd der Eliten in den Erinnerungskulturen von"	"18"	""	""	"160"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"12.10.2000"
"9783525558294"	"116952"	"P1001104"	"Schreibsucht"	"18"	""	""	"020"	"1"	"5500"	"GESCH"	"VR"	"210"	"BUCH"	"04.04.2005"
"9783525538388"	"109347"	"P1036475"	"Der Jahwist"	"18"	""	""	"146"	"1"	"5300"	"WISS.THEO"	"VR"	"210"	"BUCH"	"12.06.1993"
"9783525355855"	"1000489"	"P1040063"	"Erinnerung, Gedächtnis, Wissen"	"18"	""	""	"160"	"1"	"3100"	"GESCH"	"VR"	"210"	"BUCH"	"12.07.2005"
"9783525558324"	"1000907"	"P1038598"	"Neue Aspekte der Zinzendorf-Forschung"	"18"	""	""	"020"	"1"	"5500"	"GESCH"	"VR"	"210"	"BUCH"	"06.12.2005"
